"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"128",-75.3946909702067,39.9142548946996,57,58,90302,"Commuter Rail","Media/Elwyn Line","Media","SEPTA","{B5BEFD87-5CB9-43A0-A19E-57C0EF3FA4B3}","Delaware","Pennsylvania"
"130",-75.1494334833375,39.9816587932341,118,119,90007,"Commuter Rail","SEPTA Main Line","Temple University","SEPTA","{65D469CF-D3A7-4529-9D7A-F57005F619EB}","Philadelphia","Pennsylvania"
"131",-75.7105783053413,40.0020769931279,44,45,90502,"Commuter Rail","Paoli/Thorndale Line","Downingtown","SEPTA","{D5749558-4F65-4CE4-AAE4-2CB42DA93496}","Chester","Pennsylvania"
"132",-75.244955415373,39.8916901093393,119,120,90405,"Commuter Rail","Airport Line","Eastwick","SEPTA","{3A528906-0003-4463-BE2F-793ACB5F8739}","Philadelphia","Pennsylvania"
"133",-75.1553237662344,39.997264912056,271,272,90810,"Commuter Rail","Trenton Line","North Philadelphia","SEPTA","{B55DBA8E-1E73-4ADF-9F74-2F05E54FC653}","Philadelphia","Pennsylvania"
"135",-75.1910746052942,40.0652757641041,98,99,90717,"Commuter Rail","Chestnut Hill East Line","Mount Airy","SEPTA","{538504C2-D969-4F11-8A7D-5174C78F47CF}","Philadelphia","Pennsylvania"
"136",-75.1719277255968,40.0378573216873,148,149,90713,"Commuter Rail","Chestnut Hill East Line","Germantown","SEPTA","{64BA6905-274D-4522-97B0-AA52F907DD5E}","Philadelphia","Pennsylvania"
"137",-75.3284815307596,39.9080064695169,15,16,90306,"Commuter Rail","Media/Elwyn Line","Morton","SEPTA","{99F5E1C6-87E6-4B3A-82AD-1305078128D9}","Delaware","Pennsylvania"
"140",-75.1822544237096,39.9566448023872,273,274,0,"Commuter Rail","Atlantic City Line","30th Street Station","NJ Transit","{2BE371E5-714D-4229-A468-A0B97498F4F9}","Philadelphia","Pennsylvania"
"145",-75.1968747873658,40.0735437921879,99,100,90718,"Commuter Rail","Chestnut Hill East Line","Wyndmoor","SEPTA","{AF12C6C9-0D68-4CD8-9E94-824BFCBB3DD5}","Philadelphia","Pennsylvania"
"146",-75.1348019596927,40.0410240018172,143,144,90407,"Commuter Rail","Glenside Combined","Fern Rock Transportation Center","SEPTA","{D288A66C-1F27-4D60-961F-E055FCBDBC4B}","Philadelphia","Pennsylvania"
"148",-75.3734362436103,40.0440953525477,126,127,90512,"Commuter Rail","Paoli/Thorndale Line","St. Davids","SEPTA","{4BD3DDC4-A171-4F03-9374-8EB7CB7CEB8D}","Delaware","Pennsylvania"
"149",-75.2498430995888,39.9898840810164,116,117,90522,"Commuter Rail","Paoli/Thorndale Line","Overbrook","SEPTA","{AA230F39-C042-4CEA-B280-7E4BF611C2EA}","Philadelphia","Pennsylvania"
"150",-75.4111576471115,39.9078521407117,56,57,90301,"Commuter Rail","Media/Elwyn Line","Elwyn","SEPTA","{378DAECA-5DAC-4CEF-9C86-71955A7F9D67}","Delaware","Pennsylvania"
"152",-75.0120496329849,40.1306248556254,122,123,90321,"Commuter Rail","West Trenton Line","Somerton","SEPTA","{E903EC76-3E66-43E2-8ADA-D94A19716549}","Philadelphia","Pennsylvania"
"157",-75.1949197446196,40.0574664872217,104,105,90804,"Commuter Rail","Chestnut Hill West Line","Allen Lane","SEPTA","{5953EEDE-C3B6-4EC2-9E3E-D9F46EA243B6}","Philadelphia","Pennsylvania"
"158",-75.2540989293308,40.2684785001284,23,24,90533,"Commuter Rail","Lansdale/Doylestown Line","Colmar","SEPTA","{B00E612B-7432-445F-9A48-80A50B2BAD2D}","Montgomery","Pennsylvania"
"159",-75.1695149115393,40.1120890334093,78,79,90523,"Commuter Rail","Lansdale/Doylestown Line","North Hills","SEPTA","{0828223A-70C2-4AB6-99C8-E327A92C9BFB}","Montgomery","Pennsylvania"
"160",-75.7527272946802,39.6701966398285,328,328,90201,"Commuter Rail","Wilmington/Newark Line","Newark","SEPTA","{81A95FED-CB45-46ED-A181-7BA3820484CA}","Bucks","Delaware"
"163",-75.1291211112315,40.059499019458,128,129,90408,"Commuter Rail","Glenside Combined","Melrose Park","SEPTA","{5E57245C-3AC4-43E2-82BC-66108A96319B}","Montgomery","Pennsylvania"
"164",-75.2114604336285,40.1352668159431,76,77,90525,"Commuter Rail","Lansdale/Doylestown Line","Fort Washington","SEPTA","{86A07A77-BD5F-4715-B3DC-9E7C3A024109}","Montgomery","Pennsylvania"
"165",-75.1342182461107,40.12084636483,86,87,90413,"Commuter Rail","Warminster Line","Roslyn","SEPTA","{52134849-72D7-4CA4-8FE2-EEED21025F81}","Montgomery","Pennsylvania"
"166",-75.3000703659248,40.0140201581337,3,3,90517,"Commuter Rail","Paoli/Thorndale Line","Haverford","SEPTA","{968F86DB-AA94-4E50-A7FB-D74151B003B5}","Montgomery","Pennsylvania"
"167",-75.3158781591504,40.0219106066035,2,2,90516,"Commuter Rail","Paoli/Thorndale Line","Bryn Mawr","SEPTA","{34721152-D2B9-49EF-88B0-CD2A28032620}","Montgomery","Pennsylvania"
"169",-75.4522176069184,39.797653848203,330,327,90204,"Commuter Rail","Wilmington/Newark Line","Claymont","SEPTA","{78B6DD71-E04A-4D43-B119-52FCB85ADBEB}","Bucks","Delaware"
"170",-75.068722536974,40.116534880105,91,92,90318,"Commuter Rail","West Trenton Line","Bethayres","SEPTA","{B2F34BFE-305D-4565-8347-097FD5AB6BCC}","Montgomery","Pennsylvania"
"171",-74.8309532768255,40.235058931689,39,40,90326,"Commuter Rail","West Trenton Line","Yardley","SEPTA","{85ACDB97-2F29-4320-BF87-FC5E65E6BF37}","Bucks","Pennsylvania"
"172",-74.8546415498254,40.1050370328575,41,42,90703,"Commuter Rail","Trenton Line","Bristol","SEPTA","{2F4DEAD3-8EF4-4FD2-93F5-828C97AAC9E1}","Bucks","Pennsylvania"
"173",-75.1143707016867,40.143693344603,83,84,90415,"Commuter Rail","Warminster Line","Willow Grove","SEPTA","{09DD2155-902E-4710-99B1-C9E472AD469B}","Montgomery","Pennsylvania"
"174",-75.2860655130611,40.0742262098968,121,122,90224,"Commuter Rail","Manayunk/Norristown Line","Spring Mill","SEPTA","{CB31ABA2-4784-4D2A-931D-BE157A85E5B8}","Montgomery","Pennsylvania"
"175",-75.5509358806406,39.7369600081868,327,330,90203,"Commuter Rail","Wilmington/Newark Line","Wilmington","SEPTA","{6931521F-8E7A-44DB-8E92-D12921AA5643}","Bucks","Delaware"
"176",-75.2439487079393,40.1697032797206,74,75,90527,"Commuter Rail","Lansdale/Doylestown Line","Penllyn","SEPTA","{D11C595D-1D35-41BE-8F7A-97585A431A96}","Montgomery","Pennsylvania"
"177",-75.1025405130588,40.1764188433135,82,83,90416,"Commuter Rail","Warminster Line","Hatboro","SEPTA","{17AF8279-6BA8-44CB-A206-BCB15B75E50D}","Montgomery","Pennsylvania"
"178",-74.9065754762155,40.093575371388,42,43,90704,"Commuter Rail","Trenton Line","Croydon","SEPTA","{A30CC2B1-F44D-40C5-8739-F0D938C5E1F6}","Bucks","Pennsylvania"
"179",-75.3086703564998,40.0721378498158,94,95,90225,"Commuter Rail","Manayunk/Norristown Line","Conshohocken","SEPTA","{F5B81537-66F0-40CD-898D-79EAF301E3C4}","Montgomery","Pennsylvania"
"180",-75.2853402552149,40.2430469223379,25,26,90531,"Commuter Rail","Lansdale/Doylestown Line","Lansdale","SEPTA","{6F09B36C-F3E8-48E6-8FF9-CD347982350D}","Montgomery","Pennsylvania"
"181",-75.3486951363975,40.1170586070175,96,97,90227,"Commuter Rail","Manayunk/Norristown Line","Main Street","SEPTA","{A704DF5A-DDBC-42D5-96C0-A58E4FEBE034}","Montgomery","Pennsylvania"
"182",-75.3440958677242,40.1126950597308,95,96,90226,"Commuter Rail","Manayunk/Norristown Line","Norristown Transportation Center","SEPTA","{86768A99-D9D2-4D7E-8885-85D2945C8C51}","Montgomery","Pennsylvania"
"183",-75.3450604457252,40.1208347074603,114,115,90228,"Commuter Rail","Manayunk/Norristown Line","Elm Street","SEPTA","{8655ADB8-2C60-445C-A157-8C40EEF4F660}","Montgomery","Pennsylvania"
"184",-74.9337026825737,40.0829936965738,43,44,90705,"Commuter Rail","Trenton Line","Eddington","SEPTA","{1C276571-5055-490D-9160-FB77574A4A11}","Bucks","Pennsylvania"
"185",-75.2107052488803,40.2877589005333,33,34,90535,"Commuter Rail","Lansdale/Doylestown Line","Chalfont","SEPTA","{C21E5384-BB29-429B-B90C-BF8C95BD7832}","Bucks","Pennsylvania"
"186",-75.2045807323842,40.0657810280971,129,130,90803,"Commuter Rail","Chestnut Hill West Line","St. Martins","SEPTA","{B1C5E200-23D4-44DB-87D8-260EA8D35BAB}","Philadelphia","Pennsylvania"
